,proprty_type,seller,Location,Area in sqft,Rate/sq_ft,price,status,possession,Approved by RERA
734,"Residential Plot in legend kanak phase2Anandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",810 ,"2,098 / sq ft", 17 L,New,1 open sides 1 L booking amountWest facing,No
735,"Residential Plot in Building True ResidencyAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",810 ,"1,358 / sq ft", 11 L,New,1 open sides 1 L booking amountWest facing,No
736,"Residential Plot in Building Kohinoor HillsKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",810 ,987 / sq ft, 8 L,New,1 open sides 1 L booking amountWest facing,No
737,"Residential Plot in Peram Aditya Varna Phase IINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1790 ,"1,396 / sq ft", 25 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
738,"Residential Plot in Peram Aditya RoyalDakamarri Village Road, Visakhapatnam",property advisor,"Dakamarri Village Road, Visakhapatnam",2000 ,850 / sq ft, 17 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
739,"Residential Plot in peram aditya royalRaghu Engineering College Road, Visakhapatnam",property advisor,"Raghu Engineering College Road, Visakhapatnam",3294 ,910 / sq ft, 30 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
740,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",4410 ,861 / sq ft, 38 L,New,Possession by Dec 18991 open sides 3 L booking amount,No
741,"Residential Plot in Peram aditya varna3Sanghivalasa, Visakhapatnam",property advisor,"Sanghivalasa, Visakhapatnam",2385 ,"1,449 / sq ft", 34.58 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
742,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1098 ,"1,867 / sq ft", 20.5 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
743,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",3005 ,"1,996 / sq ft", 60 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
744,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",3500 ,828 / sq ft, 29 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
745,"Residential Plot in GGR Perams Aditya Lahari Block GModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",3500 ,771 / sq ft, 27 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
746,"Residential Plot in charan group sai brundavanamPendurthiAnandapuram Road, Visakhapatnam",property advisor,"PendurthiAnandapuram Road, Visakhapatnam",1800 ,833 / sq ft, 15 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
747,"Residential Plot in sai brudhavanamRevidi Main Road, Visakhapatnam",property advisor,"Revidi Main Road, Visakhapatnam",1800 ,"1,000 / sq ft", 18 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
748,"Residential PlotAchutapuram, Visakhapatnam",bhushan,"Achutapuram, Visakhapatnam",1800 ,922 / sq ft, 16.6 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
749,"Residential PlotAchutapuram, Visakhapatnam",bhushan,"Achutapuram, Visakhapatnam",1499 ,922 / sq ft, 13.82 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
750,"Residential PlotDuvvada Sabbavaram Road, Visakhapatnam",bhushan,"Duvvada Sabbavaram Road, Visakhapatnam",14994 ,138 / sq ft, 20.82 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
751,"Residential Plot in Peram Signature ParkMamidilova, Visakhapatnam",property advisor,"Mamidilova, Visakhapatnam",1802 ,"1,664 / sq ft", 30 L,New,1 open sides 2 L booking amountWest facing,No
752,"Residential Plot in Peram Aditya Varna Phase IINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",1802 ,"2,219 / sq ft", 40 L,New,1 open sides 2 L booking amountEast facing,No
753,"Residential Plot in oka garden 2Tagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1802 ,887 / sq ft, 16 L,New,1 open sides 2 L booking amountEast facing,No
754,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",2340 ,"1,538 / sq ft", 36 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
755,"Residential Plot in golden city 2Sontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1700 ,"1,882 / sq ft", 32 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
756,"Residential PlotAchutapuram, Visakhapatnam",bhushan,"Achutapuram, Visakhapatnam",2403 ,922 / sq ft, 22.16 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
757,"2 BHK Apartment in MAHESH INFRACONPM Palem Main Road, Visakhapatnam",Mahesh agent,"PM Palem Main Road, Visakhapatnam",1080 ,"4,074 / sq ft", 44 L,Under Construction,Possession by Mar 20232 Bathrooms3rd of 5floor,No
758,"3 BHK Apartment in Coastal Aspen ClassicGajuwaka, Visakhapatnam",jyothi,"Gajuwaka, Visakhapatnam",1350 ,"3,333 / sq ft", 45 L,Ready to move,1 year old2 Bathrooms4th of 5floor,No
759,"2 BHK ApartmentOld Gajuwaka Visakhapatnam, Visakhapatnam",mahesh kumar,"Old Gajuwaka Visakhapatnam, Visakhapatnam",1200 ,"4,083 / sq ft", 49 L,Ready to move,1 year old2 BathroomsNew ,No
760,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Utkarsha Constructions,"Madhurawada, Visakhapatnam",1413 ,"5,000 / sq ft", 70.65 L,Under Construction,Possession by Dec 20252 Bathrooms3rd of 8floor,Yes
761,"2 BHK Apartment in Utkarsha Capital TowersMadhurawada, Visakhapatnam",Utkarsha Constructions,"Madhurawada, Visakhapatnam",1381 ,"5,000 / sq ft", 69.05 L,Under Construction,Possession by Dec 20252 Bathrooms4th of 8floor,Yes
762,"3 BHK Apartment in Sri Sai Sruthi HomesMadhurawada, Visakhapatnam",kalyan,"Madhurawada, Visakhapatnam",1250 ,"4,800 / sq ft", 60 L,Ready to move,1 - 2 years old2 Bathrooms1st of 5floor,No
763,"Residential Plot in BbgKothavalasa Vizianagaram Road, Visakhapatnam",Rama kutty,"Kothavalasa Vizianagaram Road, Visakhapatnam",1800 ,"1,666 / sq ft", 30 L,New,"2 years old 51,000 booking amount",No
764,"Residential Plot in Swarna grand kothavalasaKothavalasa Vizianagaram Road, Visakhapatnam",kiran,"Kothavalasa Vizianagaram Road, Visakhapatnam",1503 ,888 / sq ft, 13.36 L,New,1 year old2 open sides 1 L booking amount,No
765,"Residential Plot in Sv l open plotsSheela Nagar, Visakhapatnam",sai kumari,"Sheela Nagar, Visakhapatnam",1197 ,"2,222 / sq ft", 26.6 L,New,0 - 1 year old1 open sides 5 L booking amount,No
766,"Residential Plot in Corals bayBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",2403 ,998 / sq ft, 24 L,New,2 open sides 1 L booking amountNorthWest facing,No
767,"Residential Plot in Legend Estates Kanak anandapuramAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",2403 ,"1,997 / sq ft", 48 L,New,2 open sides 2 L booking amountNorthWest facing,No
768,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",2403 ,"2,163 / sq ft", 52 L,New,2 open sides 2 L booking amountNorthWest facing,No
769,"Residential Plot in SVS Central ParkMamidilova, Visakhapatnam",property advisor,"Mamidilova, Visakhapatnam",1800 ,"1,666 / sq ft", 30 L,New,1 open sides 1 L booking amountWest facing,No
770,"Residential Plot in royal avenueTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2403 ,"1,456 / sq ft", 35 L,New,2 open sides 2 L booking amountNorthEast facing,No
771,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",9450 ,793 / sq ft, 75 L,New,Possession by Dec 18991 open sides 5 L booking amount,No
772,"2 BHK Apartment in Keza kavithaKurmannapalem, Visakhapatnam",pujitha,"Kurmannapalem, Visakhapatnam",1000 ,"3,800 / sq ft", 38 L,Ready to move,1 - 2 years old2 Bathrooms2nd of 4floor,No
773,"2 BHK Independent House in Baskar avenueLankelapalem, Visakhapatnam",kiran,"Lankelapalem, Visakhapatnam",1250 ,"3,840 / sq ft", 48 L,Ready to move,1 - 2 years old2 BathroomsNew ,No
774,"2 BHK ApartmentGajuwaka, Visakhapatnam",mahesh kumar,"Gajuwaka, Visakhapatnam",1250 ,"2,400 / sq ft", 30 L,Ready to move,1 year old2 Bathrooms1st of 3floor,No
775,"2 BHK Villa in Siri Venkateswara Nandanavanam SatvikaKurmannapalem, Visakhapatnam",RAJESH GEDELA,"Kurmannapalem, Visakhapatnam",1197 ,"1,888 / sq ft", 22.61 L,Ready to move,1 year old2 BathroomsNew ,No
776,"2 BHK ApartmentArilova, Visakhapatnam",Rajya laxmi,"Arilova, Visakhapatnam",1050 ,"5,714 / sq ft", 60 L,Under Construction,Possession by Jul 20222 Bathrooms3rd of 3floor,No
777,"Residential Plot in golden city layoutAnandapuram, Visakhapatnam",property advisor,"Anandapuram, Visakhapatnam",1800 ,"1,944 / sq ft", 35 L,New,1 open sides 2 L booking amountNorth facing,No
778,"Residential Plot in KVR City Phase 1Tagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"2,222 / sq ft", 40 L,New,1 open sides 1 L booking amountNorth facing,No
779,"Residential Plot in Sukrithi Saanvi layouyTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,555 / sq ft", 28 L,New,1 open sides 2 L booking amountEast facing,No
780,"Residential Plot in Peram AnanditaRouthalapalem, Visakhapatnam",property advisor,"Routhalapalem, Visakhapatnam",4545 ,836 / sq ft, 38 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
781,"Residential Plot in Dhaathri Wind Shire Block 2NH 5, Visakhapatnam",Soniya Estate,"NH 5, Visakhapatnam",1850 ,790 / sq ft, 14.63 L,New,"2 open sides 73,000 booking amountSouth facing",No
782,"Residential Plot in Wellfare Building NivasMaddilapalem, Visakhapatnam",Soniya Estate,"Maddilapalem, Visakhapatnam",4120 ,864 / sq ft, 35.6 L,Resale,"2 open sides 63,000 booking amountFreehold ownership",No
783,"Residential Plot in Wellfare Building TownshipBhogapuram, Visakhapatnam",Soniya Estate,"Bhogapuram, Visakhapatnam",3560 ,885 / sq ft, 31.54 L,Resale,"2 open sides 46,000 booking amount",No
784,"Residential Plot in Wellfare Building ParadiseSheela Nagar, Visakhapatnam",Soniya Estate,"Sheela Nagar, Visakhapatnam",5160 ,941 / sq ft, 48.6 L,Resale,"2 open sides 71,000 booking amountFreehold ownership",No
785,"Residential Plot in Wellfare Bhogapuram Phase 2Bhogapuram, Visakhapatnam",Soniya Estate,"Bhogapuram, Visakhapatnam",3810 ,934 / sq ft, 35.6 L,New,"2 open sides 56,000 booking amount",No
786,"Residential Plot in Wellfare DelightsPendurthi, Visakhapatnam",Soniya Estate,"Pendurthi, Visakhapatnam",4280 ,791 / sq ft, 33.86 L,Resale,"2 open sides 56,000 booking amountFreehold ownership",No
787,"Residential Plot in Wellfare YathapetaPendurthi, Visakhapatnam",Soniya Estate,"Pendurthi, Visakhapatnam",4530 ,918 / sq ft, 41.63 L,Resale,"2 open sides 53,800 booking amountFreehold ownership",No
788,"Residential Plot in Wellfare Building Welfare Balaji EnclavePendurthi, Visakhapatnam",Soniya Estate,"Pendurthi, Visakhapatnam",3650 ,864 / sq ft, 31.57 L,Resale,"2 open sides 59,000 booking amountFreehold ownership",No
789,"Residential Plot in Sivashakthi Highway CityTarluvada, Visakhapatnam",Swati realtor,"Tarluvada, Visakhapatnam",4280 ,860 / sq ft, 36.84 L,New,"2 open sides 56,000 booking amount",No
790,"Residential Plot in Vaishno WavesEndada, Visakhapatnam",Swati realtor,"Endada, Visakhapatnam",1840 ,901 / sq ft, 16.59 L,Resale,"2 open sides 54,000 booking amountFreehold ownership",No
791,"Residential Plot in GEV TaraPedda Waltair, Visakhapatnam",Soniya Estate,"Pedda Waltair, Visakhapatnam",1350 ,853 / sq ft, 11.52 L,New,"2 open sides 46,000 booking amount",No
792,"Residential Plot in KR Constructions K R Waltair GeethanjaliAnakapalle, Visakhapatnam",Soniya Estate,"Anakapalle, Visakhapatnam",2130 ,890 / sq ft, 18.96 L,Resale,"2 open sides 72,000 booking amountFreehold ownership",No
793,"Residential Plot in GCON Bay RidgePedda Waltair, Visakhapatnam",Soniya Estate,"Pedda Waltair, Visakhapatnam",1970 ,891 / sq ft, 17.56 L,New,"2 open sides 57,000 booking amount",No
794,"Residential Plot in KR Constructions K R Waltair GeethanjaliAnakapalle, Visakhapatnam",Soniya Estate,"Anakapalle, Visakhapatnam",4130 ,881 / sq ft, 36.4 L,Resale,"2 open sides 56,000 booking amountFreehold ownership",No
795,"Residential Plot in Peram Aditya White FieldTagarapuvalasa, Visakhapatnam",Swati realtor,"Tagarapuvalasa, Visakhapatnam",1750 ,832 / sq ft, 14.56 L,New,"2 open sides 54,000 booking amount",No
796,"Residential Plot in Peram Aditya Lahari IIModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",4545 ,748 / sq ft, 34 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
797,"2 BHK Independent Floor in Sree lakshmi narayanaPendurthi, Visakhapatnam",vanaja,"Pendurthi, Visakhapatnam",900 ,"7,333 / sq ft", 66 L,Ready to move,0 - 1 year old2 Bathrooms2nd of 2floor,No
798,"2 BHK Apartment in Sardar Seshadri EliteAchutapuram, Visakhapatnam",Fortune Properties,"Achutapuram, Visakhapatnam",1125 ,"3,200 / sq ft", 36 L,Under Construction,Possession by Apr 20242 Bathrooms4th of 5floor,Yes
799,"Residential Plot in Sri vidya ganapati nilayamDakamarri Village Road, Visakhapatnam",Rajesh,"Dakamarri Village Road, Visakhapatnam",1800 ,"1,000 / sq ft", 18 L,New,2 open sides 1 L booking amountEast facing,No
800,"Residential Plot in peram aditya grand elite2Tagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1503 ,"1,722 / sq ft", 25.88 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
801,"2 BHK Apartment in Sai Satya TowersKurmannapalem, Visakhapatnam",yelamajinolli,"Kurmannapalem, Visakhapatnam",1025 ,"3,414 / sq ft", 35 L,Ready to move,1 year old2 Bathrooms1st of 5floor,No
802,"2 BHK Apartment in N M Sri NivasGajuwaka, Visakhapatnam",Nabaghana Sahoo,"Gajuwaka, Visakhapatnam",1100 ,"2,727 / sq ft", 30 L,Under Construction,Possession by Feb 20242 BathroomsNew ,Yes
803,"2 BHK Apartment in Sri Sai Parvathi ResidencyPothinamallayya Palem, Visakhapatnam",lalitha,"Pothinamallayya Palem, Visakhapatnam",1000 ,"4,600 / sq ft", 46 L,Under Construction,Possession by Oct 20222 Bathrooms1st of 5floor,Yes
804,"Residential Plot in GGR Perams Aditya Lahari Block AModavalasa, Visakhapatnam",property advisor,"Modavalasa, Visakhapatnam",1773 ,733 / sq ft, 13 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
805,"2 BHK Apartment in Vr prideKurmannapalem, Visakhapatnam",vinayanand,"Kurmannapalem, Visakhapatnam",1000 ,"4,100 / sq ft", 41 L,Ready to move,1 - 2 years old2 Bathrooms1st of 5floor,No
806,"2 BHK Apartment in Honeyy SreenivasamAchutapuram, Visakhapatnam",Santhosh kumar,"Achutapuram, Visakhapatnam",1000 ,"3,600 / sq ft", 36 L,Ready to move,2 - 3 years old2 Bathrooms3rd of 5floor,No
807,"3 BHK Apartment in Northstar Park AveMadhurawada, Visakhapatnam",v team,"Madhurawada, Visakhapatnam",1501 ,"5,500 / sq ft", 82.55 L,Under Construction,Possession by Aug 20233 Bathrooms3rd of 9floor,Yes
808,"3 BHK Apartment in Northstar Park AveMadhurawada, Visakhapatnam",v team,"Madhurawada, Visakhapatnam",1326 ,"5,500 / sq ft", 72.93 L,Under Construction,Possession by Aug 20233 Bathrooms4th of 9floor,Yes
809,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",3996 ,"1,551 / sq ft", 62 L,New,Possession by Dec 18991 open sides 2 L booking amount,No
810,"Residential Plot in MVV M V V Woods VilleAsilmetta, Visakhapatnam",Soniya Estate,"Asilmetta, Visakhapatnam",3560 ,955 / sq ft, 34 L,Resale,"2 open sides 52,000 booking amountFreehold ownership",No
811,"Residential Plot in  WoodsPedda Waltair, Visakhapatnam",Swati realtor,"Pedda Waltair, Visakhapatnam",3120 ,"1,462 / sq ft", 45.63 L,Resale,"2 open sides 51,000 booking amountFreehold ownership",No
812,"Residential Plot in MK WoodsPedda Waltair, Visakhapatnam",Swati realtor,"Pedda Waltair, Visakhapatnam",4560 ,955 / sq ft, 43.58 L,Resale,"2 open sides 56,000 booking amountFreehold ownership",No
813,"Residential Plot in seshadhri town shipK Kotapadu Ayyannalpalem Piragadi Road, Visakhapatnam",Sasi bhushan,"K Kotapadu Ayyannalpalem Piragadi Road, Visakhapatnam",1800 ,"1,222 / sq ft", 22 L,New,1 open sides 1 L booking amountWest facing,No
814,"Residential Plot in Peram Aditya Varna Phase IINH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",2997 ,"1,501 / sq ft", 45 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
815,"Residential Plot in nakshitra vanamTallavalasa, Visakhapatnam",property advisor,"Tallavalasa, Visakhapatnam",1800 ,"3,000 / sq ft", 54 L,New,Possession by Dec 18992 open sides 2 L booking amount,No
816,"Residential Plot in sri hari projectsBhogapuram Road, Visakhapatnam",property advisor,"Bhogapuram Road, Visakhapatnam",1809 ,"1,160 / sq ft", 21 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
817,"Residential Plot in sree hari projectsSontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1810 ,"1,878 / sq ft", 34 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
818,"Residential Plot in Peram Aditya GrandTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",2600 ,"1,230 / sq ft", 32 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
819,"Residential Plot in royal city kothavalasaKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",1800 ,888 / sq ft, 16 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
820,"Residential Plot in subhagruha saanviTagarapuvalasa, Visakhapatnam",property advisor,"Tagarapuvalasa, Visakhapatnam",1800 ,"1,333 / sq ft", 24 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
821,"Residential Plot in amrutha grand2Kothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",1980 ,858 / sq ft, 17 L,New,Possession by Dec 18992 open sides 1 L booking amount,No
822,"Residential Plot in golden city vizagSontyam Road, Visakhapatnam",property advisor,"Sontyam Road, Visakhapatnam",1980 ,"1,818 / sq ft", 36 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
823,"Residential Plot in Amrutha grandKothavalasa, Visakhapatnam",property advisor,"Kothavalasa, Visakhapatnam",9000 ,911 / sq ft, 82 L,New,Possession by Dec 18992 open sides 5 L booking amount,No
824,"Residential Plot in Peram Aditya Varna Phase INH 5, Visakhapatnam",property advisor,"NH 5, Visakhapatnam",3996 ,"2,002 / sq ft", 80 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
825,"Residential Plot in golden citySontyam, Visakhapatnam",property advisor,"Sontyam, Visakhapatnam",1700 ,"1,882 / sq ft", 32 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
826,"Residential Plot in seshadri townshipBhogapuram, Visakhapatnam",property advisor,"Bhogapuram, Visakhapatnam",1700 ,"1,176 / sq ft", 20 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
827,"Residential Plot in Amrutha GrandKothavalasa Vizianagaram Road, Visakhapatnam",property advisor,"Kothavalasa Vizianagaram Road, Visakhapatnam",1720 ,872 / sq ft, 15 L,New,Possession by Dec 18991 open sides 1 L booking amount,No
